calendar_year,n_pairs,n_dates,median_pct,mean_pct,sd_pct,p10_pct,p90_pct,share_below_5_5_pct,volume_weighted_mean_pct
2017,29,29,-0.952,-1.285,1.621,-3.386,0.0,1.0,-0.196
2018,4,4,-0.878,-1.2,6.286,-7.027,4.37,0.75,-0.61
2019,74,73,0.0,-1.511,4.764,-9.41,1.449,0.973,-0.329
2020,57,57,2.5,6.907,10.363,-0.915,23.392,0.6316,4.672
2021,21,21,11.326,11.24,11.896,-3.62,26.855,0.3333,17.788
2022,21,21,43.59,43.377,23.339,20.192,72.414,0.0476,27.963
2023,23,23,2.041,6.461,10.534,0.167,25.519,0.7826,5.299
2024,8,8,-0.891,-2.621,3.689,-7.937,-0.236,1.0,-1.921
2025,16,16,0.294,-0.239,3.669,-5.796,3.866,1.0,-0.655
