year,bau_total_Mt,cap_base_Mt,cap_middle_Mt,cap_ideal_Mt,eua_krw
2026,531.3,507.0,507.0,507.0,123000
2027,525.4,489.0,487.0,477.0,132000
2028,519.6,471.0,467.0,448.0,142500
2029,513.9,453.0,448.0,418.0,159000
2030,508.3,435.0,429.0,389.0,178500
2031,502.8,426.3,416.0,370.0,202500
2032,497.5,417.8,403.0,352.0,226500
2033,492.2,409.4,391.0,334.0,250500
2034,487.0,401.2,379.0,316.0,274500
2035,482.0,393.2,367.0,299.0,298500
2036,477.0,385.3,356.0,284.0,322500
2037,472.2,377.6,345.0,270.0,346500
2038,467.4,370.1,334.0,257.0,370500
2039,462.7,362.7,323.0,244.0,394500
2040,458.1,355.4,313.0,232.0,418500
