source,observation,kau_krw,p_static_krw,p_hotelling_krw,lambda_implied
KAU과거가격,2023,9167.0,9861.6,32275.1,-0.031
KAU과거가격,2024,9582.0,9861.6,32275.1,-0.0125
KAU과거가격,2025,9956.0,9861.6,32275.1,0.0042
KAU2026시세,2026-01,10299.0,9861.6,32275.1,0.0195
KAU2026시세,2026-04-07,16450.0,9861.6,32275.1,0.2939
KAU2026시세,2026-05-21,19600.0,9861.6,32275.1,0.4345
KAU2026시세,2026-05-29,24550.0,9861.6,32275.1,0.6553
KAU2026시세,2026-06,22750.0,9861.6,32275.1,0.575
원자료 VWAP,2026-01,11453.0,9861.6,32275.1,0.071
원자료 종가최저,2026-01,10250,9861.6,32275.1,0.0173
원자료 종가최고,2026-01,12850,9861.6,32275.1,0.1333
원자료 VWAP,2026-02,12722.8,9861.6,32275.1,0.1277
원자료 종가최저,2026-02,11950,9861.6,32275.1,0.0932
원자료 종가최고,2026-02,13750,9861.6,32275.1,0.1735
원자료 VWAP,2026-03,15187.0,9861.6,32275.1,0.2376
원자료 종가최저,2026-03,13450,9861.6,32275.1,0.1601
원자료 종가최고,2026-03,16400,9861.6,32275.1,0.2917
원자료 VWAP,2026-04,16631.7,9861.6,32275.1,0.3021
원자료 종가최저,2026-04,15900,9861.6,32275.1,0.2694
원자료 종가최고,2026-04,17400,9861.6,32275.1,0.3363
원자료 VWAP,2026-05,19367.9,9861.6,32275.1,0.4241
원자료 종가최저,2026-05,16900,9861.6,32275.1,0.314
원자료 종가최고,2026-05,24550,9861.6,32275.1,0.6553
원자료 VWAP,2026-06,22805.8,9861.6,32275.1,0.5775
원자료 종가최저,2026-06,19600,9861.6,32275.1,0.4345
원자료 종가최고,2026-06,28800,9861.6,32275.1,0.845
원자료 VWAP,2026-07,23426.2,9861.6,32275.1,0.6052
원자료 종가최저,2026-07,23100,9861.6,32275.1,0.5906
원자료 종가최고,2026-07,23900,9861.6,32275.1,0.6263
