package_id,h2_scenario,elec_scenario,cost_multiplier,kau_2040_krw,h2_dri_year,e_ncc_year,both_activate,defended_all,min_headroom,cum_intake_Mt
P0,gov,gov_invest,0.8,53827,,2038,False,True,1.0,0.0
P1,gov,gov_invest,0.8,53827,,2038,False,True,1.0,40.6
A,gov,gov_invest,0.8,90000,2035,2035,True,True,0.422,0.0
B,gov,gov_invest,0.8,82532,,2035,False,True,1.0,268.2
P0,gov,gov_invest,1.0,67461,,,False,True,1.0,0.0
P1,gov,gov_invest,1.0,67461,,,False,True,1.0,40.6
A,gov,gov_invest,1.0,90000,2035,2039,True,True,0.475,0.0
B,gov,gov_invest,1.0,89767,2035,2039,True,True,1.0,268.2
P0,gov,gov_invest,1.2,80953,,,False,True,1.0,0.0
P1,gov,gov_invest,1.2,80953,,,False,True,1.0,40.6
A,gov,gov_invest,1.2,132000,2035,,False,True,0.446,0.0
B,gov,gov_invest,1.2,123194,,,False,True,1.0,268.2
P0,gov,conservative,0.8,53969,,,False,True,1.0,0.0
P1,gov,conservative,0.8,53969,,,False,True,1.0,40.6
A,gov,conservative,0.8,90000,2035,,False,True,0.443,0.0
B,gov,conservative,0.8,82831,,,False,True,1.0,268.2
P0,gov,conservative,1.0,67461,,,False,True,1.0,0.0
P1,gov,conservative,1.0,67461,,,False,True,1.0,40.6
A,gov,conservative,1.0,90000,2035,,False,True,0.487,0.0
B,gov,conservative,1.0,89963,2035,,False,True,1.0,268.2
P0,gov,conservative,1.2,80953,,,False,True,1.0,0.0
P1,gov,conservative,1.2,80953,,,False,True,1.0,40.6
A,gov,conservative,1.2,132000,2035,,False,True,0.446,0.0
B,gov,conservative,1.2,123246,,,False,True,1.0,268.2
P0,conservative,gov_invest,0.8,53827,,2038,False,True,1.0,0.0
P1,conservative,gov_invest,0.8,53827,,2038,False,True,1.0,40.6
A,conservative,gov_invest,0.8,105000,2035,2034,True,True,0.406,0.0
B,conservative,gov_invest,0.8,88826,,2035,False,True,1.0,268.2
P0,conservative,gov_invest,1.0,67461,,,False,True,1.0,0.0
P1,conservative,gov_invest,1.0,67461,,,False,True,1.0,40.6
A,conservative,gov_invest,1.0,105000,2035,2037,True,True,0.431,0.0
B,conservative,gov_invest,1.0,100365,,2039,False,True,1.0,268.2
P0,conservative,gov_invest,1.2,80953,,,False,True,1.0,0.0
P1,conservative,gov_invest,1.2,80953,,,False,True,1.0,40.6
A,conservative,gov_invest,1.2,147000,2035,2039,True,True,0.422,0.0
B,conservative,gov_invest,1.2,129163,,,False,True,1.0,268.2
P0,conservative,conservative,0.8,53969,,,False,True,1.0,0.0
P1,conservative,conservative,0.8,53969,,,False,True,1.0,40.6
A,conservative,conservative,0.8,105000,2035,,False,True,0.416,0.0
B,conservative,conservative,0.8,89157,,,False,True,1.0,268.2
P0,conservative,conservative,1.0,67461,,,False,True,1.0,0.0
P1,conservative,conservative,1.0,67461,,,False,True,1.0,40.6
A,conservative,conservative,1.0,105000,2035,,False,True,0.446,0.0
B,conservative,conservative,1.0,100599,,,False,True,1.0,268.2
P0,conservative,conservative,1.2,80953,,,False,True,1.0,0.0
P1,conservative,conservative,1.2,80953,,,False,True,1.0,40.6
A,conservative,conservative,1.2,147000,2035,,False,True,0.443,0.0
B,conservative,conservative,1.2,129299,,,False,True,1.0,268.2
