macc_mode,cap_scenario,msr_level,year,kau_krw,reserve_Mt,cum_cancel_Mt
step,base,L3,2026,34626,94.88,0.0
step,base,L3,2027,36584,104.75,0.0
step,base,L3,2028,38652,112.42,0.0
step,base,L3,2029,40838,116.87,0.0
step,base,L3,2030,43147,116.87,0.0
step,base,L3,2031,42167,96.87,0.0
step,base,L3,2032,44551,76.87,0.0
step,base,L3,2033,47070,56.87,0.0
step,base,L3,2034,49732,36.87,0.0
step,base,L3,2035,52544,16.87,0.0
step,base,L3,2036,55514,0.0,0.0
step,base,L3,2037,58653,0.0,0.0
step,base,L3,2038,61970,0.0,0.0
step,base,L3,2039,65473,0.0,0.0
step,base,L3,2040,67461,0.0,0.0
step,base,L3C,2026,34626,85.28,9.6
step,base,L3C,2027,36584,85.28,19.47
step,base,L3C,2028,38653,85.28,27.14
step,base,L3C,2029,40838,85.28,31.59
step,base,L3C,2030,43147,85.28,31.59
step,base,L3C,2031,44053,65.28,31.59
step,base,L3C,2032,46544,45.28,31.59
step,base,L3C,2033,49175,25.28,31.59
step,base,L3C,2034,51956,5.28,31.59
step,base,L3C,2035,54893,0.0,31.59
step,base,L3C,2036,57997,0.0,31.59
step,base,L3C,2037,61276,0.0,31.59
step,base,L3C,2038,64741,0.0,31.59
step,base,L3C,2039,68401,0.0,31.59
step,base,L3C,2040,67461,0.0,31.59
step,base,L4,2026,37093,90.68,5.4
step,base,L4,2027,39190,96.24,10.96
step,base,L4,2028,41406,101.11,15.83
step,base,L4,2029,43747,104.27,18.99
step,base,L4,2030,46221,104.73,19.45
step,base,L4,2031,43590,84.73,19.45
step,base,L4,2032,46054,64.73,19.45
step,base,L4,2033,48658,44.73,19.45
step,base,L4,2034,51409,24.73,19.45
step,base,L4,2035,54316,4.73,19.45
step,base,L4,2036,57387,0.0,19.45
step,base,L4,2037,60632,0.0,19.45
step,base,L4,2038,64060,0.0,19.45
step,base,L4,2039,67682,0.0,19.45
step,base,L4,2040,67461,0.0,19.45
step,base,L_EU,2026,40956,23.0,79.08
step,base,L_EU,2027,43271,23.0,96.27
step,base,L_EU,2028,45718,23.0,109.73
step,base,L_EU,2029,48303,23.0,109.73
step,base,L_EU,2030,51034,23.0,109.73
step,base,L_EU,2031,53919,17.0,109.73
step,base,L_EU,2032,54216,11.0,109.73
step,base,L_EU,2033,54361,5.0,109.73
step,base,L_EU,2034,54805,0.0,109.73
step,base,L_EU,2035,57904,0.0,109.73
step,base,L_EU,2036,61178,0.0,109.73
step,base,L_EU,2037,64637,0.0,109.73
step,base,L_EU,2038,68291,0.0,109.73
step,base,L_EU,2039,68569,0.0,109.73
step,base,L_EU,2040,67461,0.0,109.73
step,middle,L3,2026,42088,94.88,0.0
step,middle,L3,2027,44467,106.57,0.0
step,middle,L3,2028,46982,116.64,0.0
step,middle,L3,2029,49638,122.26,0.0
