floor_id,year,fundamental_kau,floor_kau,put_value_krw_per_t,moneyness,implied_defense_cost_trillion
M_mid,2026,33188,15000,0,OTM,0.0
M_mid,2027,35065,17500,73,OTM,0.01
M_mid,2028,37047,20000,628,OTM,0.04
M_mid,2029,39142,22500,1543,OTM,0.1
M_mid,2030,41355,25000,2614,OTM,0.17
M_mid,2031,43693,27500,3738,OTM,0.24
M_mid,2032,46164,30000,4861,OTM,0.3
M_mid,2033,48774,32500,5956,OTM,0.37
M_mid,2034,51532,35000,7007,OTM,0.42
M_mid,2035,54445,37500,8004,OTM,0.47
M_mid,2036,57524,40000,8944,OTM,0.52
M_mid,2037,60776,42500,9824,OTM,0.56
M_mid,2038,64212,45000,10644,OTM,0.59
M_mid,2039,67843,47500,11405,OTM,0.62
M_mid,2040,67461,50000,12579,OTM,0.67
M_high,2026,33188,25000,0,OTM,0.0
M_high,2027,35065,29643,2206,OTM,0.16
M_high,2028,37047,34286,5291,OTM,0.37
M_high,2029,39142,38929,8275,OTM,0.56
M_high,2030,41355,43571,11093,ITM(방어필요),0.72
M_high,2031,43693,48214,13730,ITM(방어필요),0.88
M_high,2032,46164,52857,16185,ITM(방어필요),1.01
M_high,2033,48774,57500,18465,ITM(방어필요),1.13
M_high,2034,51532,62143,20573,ITM(방어필요),1.24
M_high,2035,54445,66786,22519,ITM(방어필요),1.33
M_high,2036,57524,71429,24309,ITM(방어필요),1.41
M_high,2037,60776,76071,25951,ITM(방어필요),1.47
M_high,2038,64212,80714,27453,ITM(방어필요),1.52
M_high,2039,67843,85357,28821,ITM(방어필요),1.57
M_high,2040,67461,90000,30899,ITM(방어필요),1.65
M_max,2026,33188,40000,6812,ITM(방어필요),0.52
M_max,2027,35065,47857,13759,ITM(방어필요),1.01
M_max,2028,37047,55714,19776,ITM(방어필요),1.4
M_max,2029,39142,63571,25180,ITM(방어필요),1.71
M_max,2030,41355,71429,30113,ITM(방어필요),1.96
M_max,2031,43693,79286,34636,ITM(방어필요),2.21
M_max,2032,46164,87143,38787,ITM(방어필요),2.43
M_max,2033,48774,95000,42594,ITM(방어필요),2.62
M_max,2034,51532,102857,46079,ITM(방어필요),2.77
M_max,2035,54445,110714,49265,ITM(방어필요),2.91
M_max,2036,57524,118571,52168,ITM(방어필요),3.02
M_max,2037,60776,126429,54807,ITM(방어필요),3.1
M_max,2038,64212,134286,57196,ITM(방어필요),3.18
M_max,2039,67843,142143,59350,ITM(방어필요),3.23
M_max,2040,67461,150000,62505,ITM(방어필요),3.33
