macc_mode,cap_scenario,msr_level,year,kau_krw,static_krw,eua_krw,gap_krw,bank_Mt,intake_Mt,release_Mt,abate_Mt,auction_rev_trillion,cbam_cost_trillion
step,base,L2,2031,48844,54349,202500,153656,0.0,0.0,0.0,61.1,4.976,2.348
step,base,L2,2032,46425,36364,226500,180075,1.5,0.0,20.0,61.1,4.635,2.752
step,base,L2,2033,49049,49434,250500,201451,0.0,0.0,20.0,61.3,4.8,3.079
step,base,L2,2034,51049,50188,274500,223451,1.1,0.0,20.0,66.9,4.895,3.415
step,base,L2,2035,53935,53987,298500,244565,0.0,0.0,20.0,67.7,5.069,3.738
step,base,L2,2036,54561,54123,322500,267939,9.4,0.0,20.0,81.0,5.025,4.095
step,base,L2,2037,57646,54777,346500,288854,14.1,0.0,8.85,90.4,5.203,4.414
step,base,L2,2038,60905,69688,370500,309595,7.3,0.0,0.0,90.5,5.387,4.731
step,base,L2,2039,64349,68569,394500,330151,0.0,0.0,0.0,92.7,5.578,5.046
step,base,L2,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L3,2026,34626,34461,123000,88374,71.1,9.6,0.0,53.4,1.738,1.351
step,base,L3,2027,36584,49754,132000,95416,62.0,9.87,0.0,54.8,2.397,1.458
step,base,L3,2028,38652,54199,142500,103848,48.5,7.67,0.0,59.9,3.077,1.587
step,base,L3,2029,40838,54593,159000,118162,27.9,4.45,0.0,61.1,3.774,1.806
step,base,L3,2030,43147,54935,178500,135353,0.0,0.0,0.0,61.1,4.486,2.069
step,base,L3,2031,42167,36546,202500,160333,4.6,0.0,20.0,61.1,4.296,2.45
step,base,L3,2032,44551,36364,226500,181949,6.1,0.0,20.0,61.1,4.448,2.781
step,base,L3,2033,47070,49434,250500,203430,4.4,0.0,20.0,61.1,4.606,3.109
step,base,L3,2034,49732,50188,274500,224768,2.5,0.0,20.0,63.9,4.769,3.435
step,base,L3,2035,52544,53987,298500,245956,0.7,0.0,20.0,66.9,4.938,3.759
step,base,L3,2036,55514,54269,322500,266986,16.3,0.0,16.87,90.4,5.113,4.08
step,base,L3,2037,58653,70817,346500,287847,12.2,0.0,0.0,90.4,5.294,4.399
step,base,L3,2038,61970,69688,370500,308530,7.3,0.0,0.0,92.4,5.481,4.715
step,base,L3,2039,65473,68569,394500,329027,0.0,0.0,0.0,92.7,5.675,5.028
step,base,L3,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L3C,2026,34626,34461,123000,88374,71.1,9.6,0.0,53.4,1.738,1.351
step,base,L3C,2027,36584,49754,132000,95416,62.0,9.87,0.0,54.8,2.397,1.458
step,base,L3C,2028,38653,54199,142500,103847,48.5,7.67,0.0,59.9,3.077,1.587
step,base,L3C,2029,40838,54593,159000,118162,27.9,4.45,0.0,61.1,3.774,1.806
step,base,L3C,2030,43147,54935,178500,135353,0.0,0.0,0.0,61.1,4.486,2.069
step,base,L3C,2031,44053,36546,202500,158447,4.6,0.0,20.0,61.1,4.488,2.421
step,base,L3C,2032,46544,36364,226500,179956,6.1,0.0,20.0,61.1,4.647,2.75
step,base,L3C,2033,49175,49434,250500,201325,5.1,0.0,20.0,61.8,4.812,3.077
step,base,L3C,2034,51956,50188,274500,222544,6.2,0.0,20.0,66.9,4.982,3.401
step,base,L3C,2035,54893,54675,298500,243607,10.9,0.0,5.28,88.1,5.159,3.723
step,base,L3C,2036,57997,61544,322500,264503,9.6,0.0,0.0,90.4,5.341,4.042
step,base,L3C,2037,61276,70817,346500,285224,6.3,0.0,0.0,91.2,5.53,4.359
step,base,L3C,2038,64741,69688,370500,305759,1.7,0.0,0.0,92.7,5.726,4.673
step,base,L3C,2039,68401,68569,394500,326099,0.0,0.0,0.0,98.4,5.929,4.984
step,base,L3C,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L4,2026,37093,34647,123000,85907,71.3,10.8,0.0,54.8,1.862,1.313
step,base,L4,2027,39190,53535,132000,92810,65.6,11.12,0.0,59.5,2.568,1.418
step,base,L4,2028,41406,54296,142500,101094,51.3,9.74,0.0,61.1,3.296,1.545
step,base,L4,2029,43747,54681,159000,115253,28.8,6.32,0.0,61.1,4.043,1.761
step,base,L4,2030,46221,54978,178500,132279,0.0,0.92,0.0,61.1,4.805,2.022
step,base,L4,2031,43590,36546,202500,158910,4.6,0.0,20.0,61.1,4.441,2.429
step,base,L4,2032,46054,36364,226500,180446,6.1,0.0,20.0,61.1,4.598,2.758
step,base,L4,2033,48658,49434,250500,201842,4.4,0.0,20.0,61.1,4.761,3.085
step,base,L4,2034,51409,50188,274500,223091,5.5,0.0,20.0,66.9,4.93,3.409
step,base,L4,2035,54316,53987,298500,244184,12.6,0.0,20.0,75.8,5.104,3.732
step,base,L4,2036,57387,54837,322500,265113,16.1,0.0,4.73,90.4,5.285,4.052
step,base,L4,2037,60632,70817,346500,285868,12.0,0.0,0.0,90.4,5.472,4.369
step,base,L4,2038,64060,69688,370500,306440,7.3,0.0,0.0,92.7,5.666,4.683
step,base,L4,2039,67682,68569,394500,326818,0.0,0.0,0.0,92.7,5.867,4.995
step,base,L4,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L_EU,2026,40956,39793,123000,82044,71.6,16.8,0.0,61.1,2.056,1.254
step,base,L_EU,2027,43271,54133,132000,88729,61.5,17.19,0.0,61.1,2.835,1.356
step,base,L_EU,2028,45718,54470,142500,96782,43.5,13.46,0.0,61.1,3.639,1.479
step,base,L_EU,2029,48303,54385,159000,110697,27.3,0.0,0.0,61.1,4.464,1.692
step,base,L_EU,2030,51034,54935,178500,127466,3.2,0.0,0.0,64.9,5.306,1.948
step,base,L_EU,2031,53919,54069,202500,148581,0.0,0.0,6.0,67.3,5.494,2.271
step,base,L_EU,2032,54216,54216,226500,172284,0.0,0.0,6.0,73.7,5.413,2.633
step,base,L_EU,2033,54361,54361,250500,196139,0.0,0.0,6.0,76.8,5.319,2.998
step,base,L_EU,2034,54805,54550,274500,219695,5.5,0.0,5.0,86.3,5.255,3.358
step,base,L_EU,2035,57904,54922,298500,240596,7.1,0.0,0.0,90.4,5.442,3.677
step,base,L_EU,2036,61178,61544,322500,261322,6.5,0.0,0.0,91.0,5.634,3.994
step,base,L_EU,2037,64637,70817,346500,281863,4.6,0.0,0.0,92.7,5.834,4.308
step,base,L_EU,2038,68291,69688,370500,302209,0.0,0.0,0.0,92.7,6.04,4.619
step,base,L_EU,2039,68569,68569,394500,325931,0.0,0.0,0.0,100.0,5.944,4.981
step,base,L_EU,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L_C,2026,36914,24895,123000,86086,82.1,0.0,0.0,54.8,1.853,1.316
step,base,L_C,2027,39001,34809,132000,92999,86.0,0.0,0.0,57.9,2.556,1.421
step,base,L_C,2028,41206,53221,142500,101294,81.5,0.0,0.0,61.1,3.28,1.548
step,base,L_C,2029,43536,54385,159000,115464,65.3,0.0,0.0,61.1,4.023,1.765
step,base,L_C,2030,45998,54935,178500,132502,37.4,0.0,0.0,61.1,4.782,2.025
step,base,L_C,2031,48599,54349,202500,153901,22.0,0.0,0.0,61.1,4.951,2.352
step,base,L_C,2032,51346,54497,226500,175154,8.4,0.0,0.0,66.1,5.127,2.677
step,base,L_C,2033,54250,54642,250500,196250,0.0,0.0,0.0,74.4,5.308,2.999
step,base,L_C,2034,55215,54783,274500,219285,4.6,0.0,0.0,90.4,5.295,3.351
step,base,L_C,2035,58337,54922,298500,240163,6.3,0.0,0.0,90.4,5.482,3.67
step,base,L_C,2036,61635,61544,322500,260865,6.5,0.0,0.0,91.8,5.676,3.987
step,base,L_C,2037,65120,70817,346500,281380,4.6,0.0,0.0,92.7,5.877,4.3
step,base,L_C,2038,68802,69688,370500,301698,0.0,0.0,0.0,92.7,6.086,4.611
step,base,L_C,2039,68569,68569,394500,325931,0.0,0.0,0.0,100.0,5.944,4.981
step,base,L_C,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L_QB,2026,44598,24895,123000,78402,88.4,0.0,0.0,61.1,2.238,1.198
step,base,L_QB,2027,47119,34809,132000,84881,95.5,0.0,0.0,61.1,3.088,1.297
step,base,L_QB,2028,49783,53221,142500,92717,93.9,0.0,0.0,64.1,3.963,1.417
step,base,L_QB,2029,52598,54385,159000,106402,82.1,0.0,0.0,65.5,4.861,1.626
step,base,L_QB,2030,55572,54935,178500,122928,83.5,0.0,0.0,90.4,5.778,1.879
step,base,L_QB,2031,58714,54349,202500,143786,97.4,0.0,0.0,90.4,5.982,2.197
step,base,L_QB,2032,62034,54497,226500,164466,110.3,0.0,0.0,92.6,6.194,2.513
step,base,L_QB,2033,65541,54642,250500,184959,120.2,0.0,0.0,92.7,6.413,2.827
step,base,L_QB,2034,69247,54783,274500,205253,127.1,0.0,0.0,92.7,6.64,3.137
step,base,L_QB,2035,73162,153876,298500,225338,84.0,46.99,0.0,92.7,6.876,3.444
step,base,L_QB,2036,77299,150507,322500,245201,52.7,46.05,0.0,106.4,7.119,3.747
step,base,L_QB,2037,81669,144575,346500,264831,19.4,45.13,0.0,106.4,7.371,4.047
step,base,L_QB,2038,86287,111089,370500,284213,2.7,44.22,0.0,124.8,7.632,4.344
step,base,L_QB,2039,91166,109772,394500,303334,0.0,43.34,0.0,140.6,7.902,4.636
step,base,L_QB,2040,89767,89767,418500,328733,0.0,42.47,0.0,145.2,7.625,5.024
step,middle,L0,2026,41175,9862,123000,81825,106.8,0.0,0.0,61.1,2.067,1.251
step,middle,L0,2027,43503,14781,132000,88497,129.5,0.0,0.0,61.1,3.019,1.352
step,middle,L0,2028,45962,34478,142500,96538,138.1,0.0,0.0,61.1,3.992,1.475
step,middle,L0,2029,48561,51233,159000,110439,133.3,0.0,0.0,61.1,4.993,1.688
step,middle,L0,2030,51307,54479,178500,127193,120.9,0.0,0.0,66.9,6.009,1.944
step,middle,L0,2031,54208,54831,202500,148292,107.6,0.0,0.0,73.5,6.54,2.266
step,middle,L0,2032,57273,69221,226500,169227,103.6,0.0,0.0,90.4,7.086,2.586
step,middle,L0,2033,60511,67117,250500,189989,92.8,0.0,0.0,90.4,7.666,2.904
step,middle,L0,2034,63932,78667,274500,210568,80.7,0.0,0.0,95.9,8.263,3.218
step,middle,L0,2035,67547,83257,298500,230953,72.1,0.0,0.0,106.4,8.875,3.53
step,middle,L0,2036,71366,94145,322500,251134,60.2,0.0,0.0,109.1,9.527,3.838
step,middle,L0,2037,75401,93329,346500,271099,43.4,0.0,0.0,110.4,9.976,4.143
step,middle,L0,2038,79664,92344,370500,290836,20.4,0.0,0.0,110.4,10.43,4.445
step,middle,L0,2039,84169,91052,394500,310331,7.6,0.0,0.0,126.9,10.888,4.743
step,middle,L0,2040,88928,89762,418500,329572,0.0,0.0,0.0,137.5,11.384,5.037
step,middle,L1,2026,43965,33954,123000,79035,85.9,2.4,0.0,61.1,2.207,1.208
step,middle,L1,2027,46451,38919,132000,85549,86.6,4.31,0.0,61.1,3.224,1.307
step,middle,L1,2028,49077,54232,142500,93423,74.0,4.39,0.0,61.4,4.263,1.428
step,middle,L1,2029,51852,54751,159000,107148,55.8,2.88,0.0,66.9,5.331,1.638
step,middle,L1,2030,54784,75242,178500,123716,46.0,0.69,0.0,85.8,6.416,1.891
step,middle,L1,2031,57881,54831,202500,144619,49.6,0.0,0.0,90.4,6.983,2.21
step,middle,L1,2032,61154,69221,226500,165346,46.1,0.0,0.0,91.0,7.566,2.527
step,middle,L1,2033,64612,67117,250500,185888,37.6,0.0,0.0,92.7,8.185,2.841
step,middle,L1,2034,68265,78667,274500,206235,35.9,0.0,0.0,106.4,8.822,3.152
step,middle,L1,2035,72124,83257,298500,226376,27.4,0.0,0.0,106.4,9.476,3.46
step,middle,L1,2036,76202,94145,322500,246298,16.8,0.0,0.0,110.4,10.173,3.764
step,middle,L1,2037,80511,93329,346500,265989,0.0,0.0,0.0,110.4,10.652,4.065
step,middle,L1,2038,82667,82667,370500,287833,0.0,0.0,20.0,113.4,10.823,4.399
step,middle,L1,2039,83266,83266,394500,311234,0.0,0.0,20.0,119.7,10.771,4.756
step,middle,L1,2040,83487,83487,418500,335013,0.0,0.0,20.0,125.1,10.688,5.12
step,middle,L2,2026,43927,34190,123000,79073,82.9,5.4,0.0,61.1,2.205,1.208
step,middle,L2,2027,46410,49729,132000,85590,80.1,7.72,0.0,61.1,3.221,1.308
step,middle,L2,2028,49034,54365,142500,93466,64.6,7.23,0.0,61.3,4.259,1.428
step,middle,L2,2029,51807,54826,159000,107193,44.7,4.5,0.0,66.9,5.327,1.638
step,middle,L2,2030,54736,75239,178500,123764,33.9,0.67,0.0,84.8,6.411,1.891
step,middle,L2,2031,57831,54413,202500,144669,46.5,0.06,9.0,90.4,6.977,2.211
step,middle,L2,2032,61101,69071,226500,165399,44.4,0.54,2.0,90.9,7.559,2.528
step,middle,L2,2033,64555,67046,250500,185945,36.6,0.29,1.0,92.7,8.178,2.842
step,middle,L2,2034,68205,78269,274500,206295,35.9,0.0,1.0,106.4,8.815,3.153
step,middle,L2,2035,72062,83257,298500,226438,27.4,0.0,0.0,106.4,9.468,3.461
step,middle,L2,2036,76136,94145,322500,246364,16.8,0.0,0.0,110.4,10.164,3.765
step,middle,L2,2037,80441,93329,346500,266059,0.0,0.0,0.0,110.4,10.643,4.066
step,middle,L2,2038,83249,83249,370500,287251,0.0,0.0,15.0,118.4,10.9,4.39
step,middle,L2,2039,83266,83266,394500,311234,0.0,0.0,20.0,119.7,10.771,4.756
step,middle,L2,2040,83532,83532,418500,334968,0.0,0.0,19.5,125.6,10.694,5.119
step,middle,L3,2026,42088,34469,123000,80912,78.7,9.6,0.0,61.1,2.113,1.237
step,middle,L3,2027,44467,53944,132000,87533,72.0,11.69,0.0,61.1,3.086,1.338
step,middle,L3,2028,46982,54498,142500,95518,53.4,10.07,0.0,61.1,4.081,1.46
step,middle,L3,2029,49638,54879,159000,109362,29.1,5.62,0.0,63.5,5.104,1.671
step,middle,L3,2030,52445,75181,178500,126055,0.9,0.15,0.0,66.9,6.142,1.926
step,middle,L3,2031,55410,49976,202500,147090,24.5,0.0,20.0,90.4,6.685,2.248
step,middle,L3,2032,58543,54959,226500,167957,25.4,0.09,5.0,90.4,7.243,2.567
step,middle,L3,2033,61853,66630,250500,188647,21.4,0.07,5.0,92.2,7.836,2.883
step,middle,L3,2034,65350,64607,274500,209150,24.8,0.01,5.0,106.4,8.446,3.196
step,middle,L3,2035,69045,75131,298500,229455,22.1,0.11,6.0,106.4,9.072,3.507
step,middle,L3,2036,72949,82923,322500,249551,18.4,0.07,7.0,110.4,9.739,3.814
step,middle,L3,2037,77073,83360,346500,269427,10.8,0.01,9.11,110.4,10.197,4.118
step,middle,L3,2038,81431,83571,370500,289069,0.0,0.0,12.23,110.4,10.662,4.418
step,middle,L3,2039,83662,83662,394500,310838,0.0,0.0,16.11,123.6,10.823,4.75
step,middle,L3,2040,88209,88209,418500,330291,0.0,0.0,14.23,130.9,11.292,5.048
step,middle,L3C,2026,41846,34469,123000,81154,78.7,9.6,0.0,61.1,2.1,1.24
step,middle,L3C,2027,44212,53944,132000,87788,72.0,11.69,0.0,61.1,3.068,1.342
step,middle,L3C,2028,46711,54498,142500,95789,53.4,10.07,0.0,61.1,4.057,1.464
step,middle,L3C,2029,49352,54879,159000,109648,28.0,5.62,0.0,62.5,5.074,1.676
step,middle,L3C,2030,52143,75165,178500,126357,0.0,0.0,0.0,66.9,6.107,1.931
step,middle,L3C,2031,54969,49976,202500,147531,23.0,0.0,20.0,89.8,6.631,2.255
step,middle,L3C,2032,58077,69221,226500,168423,18.9,0.0,0.0,90.4,7.185,2.574
step,middle,L3C,2033,61361,67116,250500,189139,9.1,0.0,0.0,91.3,7.773,2.891
step,middle,L3C,2034,64830,54888,274500,209670,26.4,0.0,19.99,105.4,8.379,3.204
step,middle,L3C,2035,68496,83257,298500,230004,17.9,0.0,0.0,106.4,8.999,3.515
step,middle,L3C,2036,72369,94141,322500,250131,7.3,0.0,0.02,110.4,9.661,3.823
step,middle,L3C,2037,76460,67168,346500,270040,10.5,0.0,19.94,110.4,10.116,4.127
step,middle,L3C,2038,80783,82669,370500,289717,7.5,0.0,19.98,110.4,10.577,4.428
step,middle,L3C,2039,85351,90396,394500,309149,0.0,0.0,5.32,126.9,11.041,4.725
step,middle,L3C,2040,89760,89760,418500,328740,0.0,0.0,0.02,145.1,11.491,5.024
step,middle,L4,2026,43290,34682,123000,79710,77.5,10.8,0.0,61.1,2.173,1.218
step,middle,L4,2027,45738,53987,132000,86262,69.9,12.6,0.0,61.1,3.174,1.318
step,middle,L4,2028,48324,54530,142500,94176,50.6,10.77,0.0,61.1,4.198,1.439
step,middle,L4,2029,51056,54904,159000,107944,27.8,6.15,0.0,65.5,5.249,1.65
step,middle,L4,2030,53943,75239,178500,124557,0.0,0.67,0.0,67.8,6.318,1.904
step,middle,L4,2031,54787,49976,202500,147713,19.1,0.0,20.0,85.9,6.61,2.257
step,middle,L4,2032,57885,61976,226500,168615,17.0,0.01,2.0,90.4,7.162,2.577
step,middle,L4,2033,61158,66427,250500,189342,13.8,0.0,7.0,91.0,7.748,2.894
step,middle,L4,2034,64616,64040,274500,209884,19.9,0.02,11.0,103.1,8.351,3.208
step,middle,L4,2035,68269,82495,298500,230231,15.0,0.28,4.0,106.4,8.97,3.519
step,middle,L4,2036,72129,70643,322500,250371,18.4,0.03,14.0,110.4,9.629,3.826
step,middle,L4,2037,76207,83167,346500,270293,12.2,0.06,10.58,110.4,10.083,4.131
step,middle,L4,2038,80516,83497,370500,289984,2.1,0.0,12.87,110.4,10.542,4.432
step,middle,L4,2039,85069,89729,394500,309431,0.0,0.0,10.73,126.9,11.005,4.729
step,middle,L4,2040,89013,89013,418500,329487,0.0,0.0,6.87,138.2,11.395,5.035
step,middle,L_EU,2026,45242,39810,123000,77758,71.5,16.8,0.0,61.1,2.271,1.188
step,middle,L_EU,2027,47800,54200,132000,84200,59.3,17.16,0.0,61.1,3.317,1.287
step,middle,L_EU,2028,50503,54555,142500,91997,43.3,11.3,0.0,64.9,4.387,1.406
step,middle,L_EU,2029,53359,54616,159000,105641,28.0,0.0,0.0,66.9,5.486,1.614
step,middle,L_EU,2030,56375,75164,178500,122125,23.5,0.0,0.0,90.4,6.603,1.866
step,middle,L_EU,2031,59563,54831,202500,142937,27.1,0.0,0.0,90.4,7.186,2.184
step,middle,L_EU,2032,62931,69221,226500,163569,25.3,0.0,0.0,92.7,7.786,2.5
step,middle,L_EU,2033,66489,67116,250500,184011,18.9,0.0,0.0,94.8,8.423,2.812
step,middle,L_EU,2034,70248,64512,274500,204252,23.3,0.0,5.99,106.4,9.079,3.121
step,middle,L_EU,2035,74220,83238,298500,224280,15.1,0.0,0.09,106.7,9.751,3.428
step,middle,L_EU,2036,78416,83074,322500,244084,10.5,0.0,6.0,110.4,10.469,3.73
step,middle,L_EU,2037,82850,83783,346500,263650,3.6,0.0,5.99,114.3,10.962,4.029
step,middle,L_EU,2038,87535,91650,370500,282965,0.0,0.0,4.93,124.8,11.461,4.324
step,middle,L_EU,2039,91051,91051,394500,303449,0.0,0.0,0.0,139.7,11.779,4.637
step,middle,L_EU,2040,89762,89762,418500,328738,0.0,0.0,0.0,145.1,11.491,5.024
step,middle,L_C,2026,44034,24916,123000,78966,88.3,0.0,0.0,61.1,2.21,1.207
step,middle,L_C,2027,46524,38385,132000,85476,93.3,0.0,0.0,61.1,3.229,1.306
step,middle,L_C,2028,49154,54027,142500,93346,85.4,0.0,0.0,61.7,4.27,1.427
step,middle,L_C,2029,51933,54616,159000,107067,70.0,0.0,0.0,66.9,5.34,1.636
step,middle,L_C,2030,54870,75164,178500,123630,62.7,0.0,0.0,87.6,6.426,1.889
step,middle,L_C,2031,57972,54831,202500,144528,66.4,0.0,0.0,90.4,6.994,2.209
step,middle,L_C,2032,61250,69221,226500,165250,63.0,0.0,0.0,91.1,7.578,2.525
step,middle,L_C,2033,64713,67117,250500,185787,54.5,0.0,0.0,92.7,8.198,2.839
step,middle,L_C,2034,68372,78667,274500,206128,52.9,0.0,0.0,106.4,8.836,3.15
step,middle,L_C,2035,72237,83257,298500,226263,44.3,0.0,0.0,106.4,9.491,3.458
step,middle,L_C,2036,76322,94145,322500,246178,33.7,0.0,0.0,110.4,10.189,3.762
step,middle,L_C,2037,80637,93329,346500,265863,17.0,0.0,0.0,110.4,10.669,4.063
step,middle,L_C,2038,85196,92344,370500,285304,8.4,0.0,0.0,124.8,11.155,4.36
step,middle,L_C,2039,90013,91052,394500,304487,0.0,0.0,0.0,131.3,11.644,4.653
step,middle,L_C,2040,89762,89762,418500,328738,0.0,0.0,0.0,145.1,11.491,5.024
step,middle,L_QB,2026,68707,24916,123000,54293,119.8,0.0,0.0,92.7,3.449,0.83
step,middle,L_QB,2027,72592,38385,132000,59408,156.4,0.0,0.0,92.7,5.038,0.908
step,middle,L_QB,2028,76696,54027,142500,65804,179.4,0.0,0.0,92.7,6.662,1.006
step,middle,L_QB,2029,81032,54616,159000,77968,203.6,0.0,0.0,106.4,8.331,1.192
step,middle,L_QB,2030,85614,75164,178500,92886,215.1,0.0,0.0,106.4,10.027,1.42
step,middle,L_QB,2031,90455,54831,202500,112045,235.6,0.0,0.0,107.4,10.912,1.712
step,middle,L_QB,2032,95569,69221,226500,130931,253.5,0.0,0.0,112.4,11.824,2.001
step,middle,L_QB,2033,100972,67117,250500,149528,271.7,0.0,0.0,119.4,12.792,2.285
step,middle,L_QB,2034,106682,78667,274500,167818,286.8,0.0,0.0,123.1,13.787,2.565
step,middle,L_QB,2035,112713,299432,298500,185787,235.3,65.69,0.0,129.1,14.809,2.839
step,middle,L_QB,2036,119086,323624,322500,203414,180.8,66.75,0.0,133.3,15.898,3.109
step,middle,L_QB,2037,125819,347573,346500,220681,132.3,66.15,0.0,144.8,16.647,3.373
step,middle,L_QB,2038,132933,371523,370500,237567,88.7,65.46,0.0,155.3,17.405,3.631
step,middle,L_QB,2039,140450,395473,394500,254050,44.4,64.68,0.0,160.0,18.169,3.883
step,middle,L_QB,2040,148391,419301,418500,270109,0.0,64.01,0.0,164.8,18.997,4.128
step,ideal,L0,2026,125773,9862,123000,-2773,200.1,0.0,0.0,154.4,1.594,0.0
step,ideal,L0,2027,132885,34203,132000,-885,295.5,0.0,0.0,143.9,3.169,0.0
step,ideal,L0,2028,140398,54119,142500,2102,348.6,0.0,0.0,124.6,6.29,0.032
step,ideal,L0,2029,148336,73606,159000,10664,363.4,0.0,0.0,110.7,13.951,0.163
step,ideal,L0,2030,156723,144714,178500,21777,364.3,0.0,0.0,120.2,29.568,0.333
step,ideal,L0,2031,165585,199296,202500,36915,355.1,0.0,0.0,123.6,37.372,0.564
step,ideal,L0,2032,174947,225134,226500,51553,336.6,0.0,0.0,127.0,45.262,0.788
step,ideal,L0,2033,184838,250032,250500,65662,310.1,0.0,0.0,131.7,53.093,1.003
step,ideal,L0,2034,195289,274868,274500,79211,275.5,0.0,0.0,136.4,61.711,1.211
step,ideal,L0,2035,206331,299795,298500,92169,233.7,0.0,0.0,141.2,61.693,1.409
step,ideal,L0,2036,217997,324513,322500,104503,191.3,0.0,0.0,150.6,61.911,1.597
step,ideal,L0,2037,230323,349173,346500,116177,145.2,0.0,0.0,156.1,62.187,1.775
step,ideal,L0,2038,243345,373742,370500,127155,98.3,0.0,0.0,163.5,62.54,1.943
step,ideal,L0,2039,257104,398478,394500,137396,49.9,0.0,0.0,170.3,62.733,2.1
step,ideal,L0,2040,271641,423074,418500,146859,0.0,0.0,0.0,176.2,63.021,2.244
step,ideal,L1,2026,180779,34019,123000,-57779,199.1,2.4,0.0,175.2,2.291,0.0
step,ideal,L1,2027,191001,54721,132000,-59001,289.9,17.9,0.0,175.2,4.555,0.0
step,ideal,L1,2028,201800,138660,142500,-59300,347.6,28.79,0.0,175.2,9.041,0.0
step,ideal,L1,2029,213210,158974,159000,-54210,375.3,35.72,0.0,175.2,20.052,0.0
step,ideal,L1,2030,225265,185003,178500,-46765,377.4,39.04,0.0,175.2,42.5,0.0
step,ideal,L1,2031,238002,206523,202500,-35502,383.9,39.29,0.0,178.6,53.717,0.0
step,ideal,L1,2032,251458,50000000,226500,-24958,381.1,40.06,0.0,182.7,65.057,0.0
