macc_mode,cap_scenario,msr_level,year,kau_krw,static_krw,eua_krw,gap_krw,bank_Mt,intake_Mt,release_Mt,abate_Mt,auction_rev_trillion,cbam_cost_trillion
step,base,L0,2026,33188,9862,123000,89812,89.1,0.0,0.0,43.4,1.666,1.373
step,base,L0,2027,35065,11964,132000,96935,107.5,0.0,0.0,54.8,2.298,1.481
step,base,L0,2028,37047,34217,142500,105453,113.7,0.0,0.0,54.8,2.949,1.612
step,base,L0,2029,39142,38197,159000,119858,114.0,0.0,0.0,61.1,3.617,1.832
step,base,L0,2030,41355,54199,178500,137145,101.8,0.0,0.0,61.1,4.299,2.096
step,base,L0,2031,43693,54349,202500,158807,86.4,0.0,0.0,61.1,4.452,2.427
step,base,L0,2032,46164,54497,226500,180336,67.9,0.0,0.0,61.1,4.609,2.756
step,base,L0,2033,48774,54642,250500,201726,46.2,0.0,0.0,61.1,4.773,3.083
step,base,L0,2034,51532,54783,274500,222968,27.3,0.0,0.0,66.9,4.942,3.408
step,base,L0,2035,54445,54922,298500,244055,17.1,0.0,0.0,78.6,5.117,3.73
step,base,L0,2036,57524,61544,322500,264976,15.9,0.0,0.0,90.4,5.298,4.05
step,base,L0,2037,60776,70817,346500,285724,11.8,0.0,0.0,90.4,5.485,4.367
step,base,L0,2038,64212,69688,370500,306288,7.2,0.0,0.0,92.7,5.68,4.681
step,base,L0,2039,67843,68569,394500,326657,0.0,0.0,0.0,92.8,5.881,4.992
step,base,L0,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L1,2026,34292,33944,123000,88708,74.4,2.4,0.0,49.5,1.721,1.356
step,base,L1,2027,36231,38889,132000,95769,72.2,2.93,0.0,54.8,2.374,1.464
step,base,L1,2028,38280,53965,142500,104220,60.8,2.67,0.0,56.8,3.047,1.593
step,base,L1,2029,40444,54446,159000,118556,43.3,1.29,0.0,61.1,3.738,1.812
step,base,L1,2030,42731,54935,178500,135769,15.4,0.0,0.0,61.1,4.442,2.075
step,base,L1,2031,45147,54349,202500,157353,0.0,0.0,0.0,61.1,4.6,2.405
step,base,L1,2032,46425,36364,226500,180075,1.5,0.0,20.0,61.1,4.635,2.752
step,base,L1,2033,49050,49434,250500,201450,0.0,0.0,20.0,61.3,4.8,3.079
step,base,L1,2034,51169,50188,274500,223331,1.1,0.0,20.0,66.9,4.907,3.413
step,base,L1,2035,54062,53987,298500,244438,2.7,0.0,20.0,70.4,5.081,3.736
step,base,L1,2036,57119,54377,322500,265381,16.1,0.0,14.57,90.4,5.26,4.056
step,base,L1,2037,60349,70817,346500,286151,12.0,0.0,0.0,90.4,5.447,4.373
step,base,L1,2038,63761,69688,370500,306739,7.3,0.0,0.0,92.7,5.64,4.688
step,base,L1,2039,67366,68569,394500,327134,0.0,0.0,0.0,92.7,5.839,4.999
step,base,L1,2040,67461,67461,418500,351039,0.0,0.0,0.0,102.7,5.731,5.365
step,base,L2,2026,37100,34179,123000,85900,76.7,5.4,0.0,54.8,1.862,1.313
step,base,L2,2027,39198,39349,132000,92802,75.5,6.61,0.0,59.5,2.568,1.418
step,base,L2,2028,41414,54140,142500,101086,64.6,6.4,0.0,61.1,3.297,1.545
step,base,L2,2029,43756,54593,159000,115244,44.0,4.43,0.0,61.1,4.044,1.761
step,base,L2,2030,46230,54969,178500,132270,15.4,0.73,0.0,61.1,4.806,2.021
