scenario,msr_level,year,kau_central,premium_pct,kau_lower,kau_upper,bank_Mt
base,L0,2026,33188,1.6,32663,33713,89.1
base,L0,2027,35065,2.0,34371,35759,107.5
base,L0,2028,37047,2.2,36242,37852,113.7
base,L0,2029,39142,2.3,38255,40029,114.0
base,L0,2030,41355,2.1,40484,42226,101.8
base,L0,2031,43693,1.8,42896,44490,86.4
base,L0,2032,46164,1.5,45489,46839,67.9
base,L0,2033,48774,1.0,48279,49269,46.2
base,L0,2034,51532,0.6,51216,51848,27.3
base,L0,2035,54445,0.4,54232,54658,17.1
base,L0,2036,57524,0.4,57310,57738,15.9
base,L0,2037,60776,0.3,60605,60947,11.8
base,L0,2038,64212,0.2,64100,64324,7.2
base,L0,2039,67843,0.0,67843,67843,0.0
base,L0,2040,67461,0.0,67461,67461,0.0
base,L3,2026,34626,1.3,34189,35063,71.1
base,L3,2027,36584,1.1,36167,37001,62.0
base,L3,2028,38652,0.9,38294,39010,48.5
base,L3,2029,40838,0.6,40612,41064,27.9
base,L3,2030,43147,0.0,43147,43147,0.0
base,L3,2031,42167,0.1,42126,42208,4.6
base,L3,2032,44551,0.1,44492,44610,6.1
base,L3,2033,47070,0.1,47024,47116,4.4
base,L3,2034,49732,0.1,49704,49760,2.5
base,L3,2035,52544,0.0,52536,52552,0.7
base,L3,2036,55514,0.4,55303,55725,16.3
base,L3,2037,58653,0.3,58482,58824,12.2
base,L3,2038,61970,0.2,61860,62080,7.3
base,L3,2039,65473,0.0,65473,65473,0.0
base,L3,2040,67461,0.0,67461,67461,0.0
middle,L0,2026,41175,1.9,40394,41956,106.8
middle,L0,2027,43503,2.4,42462,44544,129.5
middle,L0,2028,45962,2.7,44739,47185,138.1
middle,L0,2029,48561,2.7,47261,49861,133.3
middle,L0,2030,51307,2.5,50006,52608,120.9
middle,L0,2031,54208,2.3,52946,55470,107.6
middle,L0,2032,57273,2.3,55948,58598,103.6
middle,L0,2033,60511,2.1,59218,61804,92.8
middle,L0,2034,63932,1.9,62707,65157,80.7
middle,L0,2035,67547,1.8,66353,68741,72.1
middle,L0,2036,71366,1.5,70280,72452,60.2
middle,L0,2037,75401,1.1,74547,76255,43.4
middle,L0,2038,79664,0.5,79226,80102,20.4
middle,L0,2039,84169,0.2,83991,84347,7.6
middle,L0,2040,88928,0.0,88928,88928,0.0
middle,L3,2026,42088,1.4,41500,42676,78.7
middle,L3,2027,44467,1.3,43875,45059,72.0
middle,L3,2028,46982,1.0,46498,47466,53.4
middle,L3,2029,49638,0.6,49348,49928,29.1
middle,L3,2030,52445,0.0,52435,52455,0.9
middle,L3,2031,55410,0.5,55116,55704,24.5
middle,L3,2032,58543,0.6,58211,58875,25.4
middle,L3,2033,61853,0.5,61548,62158,21.4
middle,L3,2034,65350,0.6,64965,65735,24.8
middle,L3,2035,69045,0.5,68671,69419,22.1
middle,L3,2036,72949,0.5,72610,73288,18.4
middle,L3,2037,77073,0.3,76856,77290,10.8
middle,L3,2038,81431,0.0,81431,81431,0.0
middle,L3,2039,83662,0.0,83662,83662,0.0
middle,L3,2040,88209,0.0,88209,88209,0.0
ideal,L0,2026,125773,3.6,121305,130241,200.1
ideal,L0,2027,132885,5.6,125476,140294,295.5
ideal,L0,2028,140398,7.0,130566,150230,348.6
ideal,L0,2029,148336,7.8,136730,159942,363.4
ideal,L0,2030,156723,8.4,143514,169932,364.3
ideal,L0,2031,165585,8.6,151282,179888,355.1
ideal,L0,2032,174947,8.6,159891,190003,336.6
ideal,L0,2033,184838,8.4,169393,200283,310.1
ideal,L0,2034,195289,7.8,179966,210612,275.5
ideal,L0,2035,206331,7.0,191817,220845,233.7
ideal,L0,2036,217997,6.1,204781,231213,191.3
ideal,L0,2037,230323,4.8,219175,241471,145.2
ideal,L0,2038,243345,3.4,234968,251722,98.3
ideal,L0,2039,257104,1.8,252372,261836,49.9
ideal,L0,2040,271641,0.0,271641,271641,0.0
ideal,L3,2026,191896,3.4,185359,198433,191.9
ideal,L3,2027,202746,4.9,192735,212757,261.7
ideal,L3,2028,214209,5.9,201613,226805,292.7
ideal,L3,2029,226321,6.3,212024,240618,293.4
ideal,L3,2030,239117,6.4,223842,254392,276.1
ideal,L3,2031,252637,6.5,236248,269026,266.7
ideal,L3,2032,266921,6.4,249764,284078,251.4
ideal,L3,2033,282013,6.3,264292,299734,233.2
ideal,L3,2034,297958,6.0,280069,315847,210.8
ideal,L3,2035,314805,5.6,297152,332458,186.3
ideal,L3,2036,332605,5.2,315414,349796,163.1
ideal,L3,2037,351410,4.6,335210,367610,138.3
ideal,L3,2038,371279,3.5,358381,384177,99.2
ideal,L3,2039,392271,1.8,385355,399187,47.8
ideal,L3,2040,414451,0.0,414451,414451,0.0
